,Ua,Ub,Uc,inv_CpH,inv_CpS,obj
0,0.03,0.0003,0.01,0.1,50,30064.887991867457
1,0.03,0.0003,0.01,0.1,75,27796.839883006294
2,0.03,0.0003,0.01,0.1,100,27111.85450079793
3,0.03,0.0003,0.01,0.2,50,63036.15289528097
4,0.03,0.0003,0.01,0.2,75,71534.02519007333
5,0.03,0.0003,0.01,0.2,100,76543.36689218218
6,0.03,0.0003,0.01,0.3,50,87532.489580537
7,0.03,0.0003,0.01,0.3,75,101977.67223394813
8,0.03,0.0003,0.01,0.3,100,110317.6862536455
9,0.03,0.0003,0.01,0.4,50,103227.50356896408
10,0.03,0.0003,0.01,0.4,75,121623.417052581
11,0.03,0.0003,0.01,0.4,100,132315.941015573
12,0.03,0.0003,0.02,0.1,50,18711.370239162294
13,0.03,0.0003,0.02,0.1,75,13078.857906731017
14,0.03,0.0003,0.02,0.1,100,10772.376799321784
15,0.03,0.0003,0.02,0.2,50,18966.28773791542
16,0.03,0.0003,0.02,0.2,75,22353.5120207951
17,0.03,0.0003,0.02,0.2,100,24963.417584861367
18,0.03,0.0003,0.02,0.3,50,28886.911992053683
19,0.03,0.0003,0.02,0.3,75,37340.49053391836
20,0.03,0.0003,0.02,0.3,100,42868.13906707473
21,0.03,0.0003,0.02,0.4,50,36627.09816275194
22,0.03,0.0003,0.02,0.4,75,48417.4642447996
23,0.03,0.0003,0.02,0.4,100,55993.07058805341
24,0.03,0.0003,0.03,0.1,50,22461.434068918585
25,0.03,0.0003,0.03,0.1,75,14492.024665662262
26,0.03,0.0003,0.03,0.1,100,11040.022318703546
27,0.03,0.0003,0.03,0.2,50,6906.3466736045375
28,0.03,0.0003,0.03,0.2,75,6894.09325067283
29,0.03,0.0003,0.03,0.2,100,7906.947677193958
30,0.03,0.0003,0.03,0.3,50,9456.920734217498
31,0.03,0.0003,0.03,0.3,75,14060.383889804953
32,0.03,0.0003,0.03,0.3,100,17801.338036831836
33,0.03,0.0003,0.03,0.4,50,13089.88984571664
34,0.03,0.0003,0.03,0.4,75,20745.096160610177
35,0.03,0.0003,0.03,0.4,100,26406.209217698964
36,0.03,0.0003,0.04,0.1,50,30663.836355697986
37,0.03,0.0003,0.04,0.1,75,20705.279294821878
38,0.03,0.0003,0.04,0.1,100,16260.083274311868
39,0.03,0.0003,0.04,0.2,50,5389.828537286657
40,0.03,0.0003,0.04,0.2,75,2613.4022993051417
41,0.03,0.0003,0.04,0.2,100,2322.484442412429
42,0.03,0.0003,0.04,0.3,50,3235.611644446325
43,0.03,0.0003,0.04,0.3,75,4795.942013044961
44,0.03,0.0003,0.04,0.3,100,7135.181235008325
45,0.03,0.0003,0.04,0.4,50,4203.062680241765
46,0.03,0.0003,0.04,0.4,75,8653.31451927384
47,0.03,0.0003,0.04,0.4,100,12853.08989165628
48,0.03,0.0004,0.01,0.1,50,28244.691516469597
49,0.03,0.0004,0.01,0.1,75,27096.646858555257
50,0.03,0.0004,0.01,0.1,100,26850.65711661915
51,0.03,0.0004,0.01,0.2,50,69158.42059738531
52,0.03,0.0004,0.01,0.2,75,76486.41366246586
