dataset_key,dataset_label,delay_order,plot_mode,fixed_parameter_name,fixed_parameter_value,best_K,best_tau,best_theta,best_sse
sine,Sine Wave Test for Heater 1,2,ktau,theta,10.0,0.7833333333333333,176.66666666666669,10.0,1020.150910153572
sine,Sine Wave Test for Heater 1,2,ktau,theta,15.0,0.7666666666666666,163.33333333333334,15.0,477.2650080435241
sine,Sine Wave Test for Heater 1,2,ktau,theta,20.0,0.7666666666666666,163.33333333333334,20.0,804.2613368063976
sine,Sine Wave Test for Heater 1,2,ktau,theta,25.0,0.75,153.33333333333334,25.0,1982.8342416345454
sine,Sine Wave Test for Heater 1,2,ktau,theta,30.0,0.75,150.0,30.0,3755.0068133089435
sine,Sine Wave Test for Heater 1,2,thetatau,K,0.75,0.75,156.66666666666669,17.5,843.1134501957436
sine,Sine Wave Test for Heater 1,2,thetatau,K,0.8,0.8,180.0,13.333333333333334,1283.1919473400922
sine,Sine Wave Test for Heater 1,2,thetatau,K,0.85,0.85,200.0,10.833333333333334,6046.654432300853
sine,Sine Wave Test for Heater 1,3,ktau,theta,10.0,0.7833333333333333,176.66666666666669,10.0,995.8063910781075
sine,Sine Wave Test for Heater 1,3,ktau,theta,15.0,0.7666666666666666,166.66666666666669,15.0,445.82969403957577
sine,Sine Wave Test for Heater 1,3,ktau,theta,20.0,0.7666666666666666,163.33333333333334,20.0,788.5014404423985
sine,Sine Wave Test for Heater 1,3,ktau,theta,25.0,0.75,153.33333333333334,25.0,2069.445511404472
sine,Sine Wave Test for Heater 1,3,ktau,theta,30.0,0.75,150.0,30.0,4043.5596626941406
sine,Sine Wave Test for Heater 1,3,thetatau,K,0.75,0.75,156.66666666666669,17.5,832.7864255078337
sine,Sine Wave Test for Heater 1,3,thetatau,K,0.8,0.8,180.0,13.333333333333334,1242.9619580134201
sine,Sine Wave Test for Heater 1,3,thetatau,K,0.85,0.85,200.0,10.833333333333334,6007.862486140647
step,Step Test for Heater 1,2,ktau,theta,10.0,0.7833333333333333,166.66666666666669,10.0,404.128737962079
step,Step Test for Heater 1,2,ktau,theta,15.0,0.7833333333333333,166.66666666666669,15.0,404.128737962079
step,Step Test for Heater 1,2,ktau,theta,20.0,0.7833333333333333,166.66666666666669,20.0,404.128737962079
step,Step Test for Heater 1,2,ktau,theta,25.0,0.7833333333333333,166.66666666666669,25.0,404.128737962079
step,Step Test for Heater 1,2,ktau,theta,30.0,0.7833333333333333,166.66666666666669,30.0,404.128737962079
step,Step Test for Heater 1,2,thetatau,K,0.75,0.75,150.0,10.0,1668.8504137793932
step,Step Test for Heater 1,2,thetatau,K,0.8,0.8,176.66666666666669,10.0,461.2420865760605
step,Step Test for Heater 1,2,thetatau,K,0.85,0.85,200.0,10.0,2968.483399844634
step,Step Test for Heater 1,3,ktau,theta,10.0,0.7833333333333333,166.66666666666669,10.0,404.128737962079
step,Step Test for Heater 1,3,ktau,theta,15.0,0.7833333333333333,166.66666666666669,15.0,404.128737962079
step,Step Test for Heater 1,3,ktau,theta,20.0,0.7833333333333333,166.66666666666669,20.0,404.128737962079
step,Step Test for Heater 1,3,ktau,theta,25.0,0.7833333333333333,166.66666666666669,25.0,404.128737962079
step,Step Test for Heater 1,3,ktau,theta,30.0,0.7833333333333333,166.66666666666669,30.0,404.128737962079
step,Step Test for Heater 1,3,thetatau,K,0.75,0.75,150.0,10.0,1668.8504137793932
step,Step Test for Heater 1,3,thetatau,K,0.8,0.8,176.66666666666669,10.0,461.2420865760605
step,Step Test for Heater 1,3,thetatau,K,0.85,0.85,200.0,10.0,2968.483399844634
