variant,delay_order,parameterization,objective,space,parameter,estimate,variance,std_dev,ci_lower,ci_upper
reformulated,2,physics,SSE,fit,Ua,0.043393973954682245,1.939067129526123e-09,4.403483995118096e-05,0.04330755077198637,0.04348039713737812
reformulated,2,physics,SSE,fit,Cp,3.918312858908973,5.741278132623184e-05,0.00757712223249908,3.9034419289877063,3.93318378883024
reformulated,2,physics,SSE,fit,theta,9984879.224662017,2.5448484697940184e+25,5044649115443.034,-9900664858581.992,9900684828340.441
reformulated,2,physics,SSE,transformed,K,0.737429580278097,5.599833381243734e-07,0.000748320344588047,0.7359609198735839,0.7388982406826101
reformulated,2,physics,SSE,transformed,tau,90.29624396698482,0.060085432040317514,0.2451232996683863,89.81516272009618,90.77732521387345
reformulated,2,physics,SSE,transformed,theta,9984879.224662017,2.5448484697940184e+25,5044649115443.034,-9900664858581.992,9900684828340.441
reformulated,2,io,SSE,fit,K,0.7696155198801735,6.529095750390734e-08,0.00025552095316022,0.7691140321027211,0.7701170076576259
reformulated,2,io,SSE,fit,tau,165.05213342443352,0.03127825172799222,0.176856585198268,164.705033060483,165.39923378838404
reformulated,2,io,SSE,fit,theta,16.034829418062614,0.0039376556724717475,0.06275074240574169,15.91167423273106,16.157984603394166
reformulated,2,io,SSE,transformed,Ua,0.04157920308699374,1.905714008175988e-10,1.3804760078233841e-05,0.041552109737644984,0.0416062964363425
reformulated,2,io,SSE,transformed,Cp,6.862736175596109,3.617047347847032e-05,0.006014189345079711,6.850932672163063,6.874539679029155
reformulated,2,io,SSE,transformed,theta,16.034829418062614,0.0039376556724717475,0.06275074240574169,15.91167423273106,16.157984603394166
reformulated,3,physics,SSE,fit,Ua,0.04339397392428795,6.321173913734564e-10,2.5141944860600112e-05,0.0433446301116063,0.04344331773696959
reformulated,3,physics,SSE,fit,Cp,3.91831286169813,4.7486696073449205e-05,0.006891059140179338,3.9047884055243363,3.9318373178719237
reformulated,3,physics,SSE,fit,theta,894383.4276638129,3.1916892524606813e+23,564950374144.551,-1108775916272.0605,1108777705038.916
reformulated,3,physics,SSE,transformed,K,0.7374295807946124,1.8254922818789659e-07,0.0004272578006167899,0.7365910406976829,0.7382681208915419
reformulated,3,physics,SSE,transformed,tau,90.29624409450594,0.037581486691513157,0.19385945086972972,89.91577374969691,90.67671443931496
reformulated,3,physics,SSE,transformed,theta,894383.4276638129,3.1916892524606813e+23,564950374144.551,-1108775916272.0605,1108777705038.916
reformulated,3,io,SSE,fit,K,0.7254471589521636,1.3848145875414825e-06,0.0011767814527521593,0.7231375968282394,0.7277567210760878
reformulated,3,io,SSE,fit,tau,86.73761508085462,0.11768094456881469,0.3430465632662929,86.06434873440664,87.41088142730261
reformulated,3,io,SSE,fit,theta,1504.3548260732045,6541.158070651475,80.87742621183908,1345.6240440554502,1663.0856080909589
reformulated,3,io,SSE,transformed,Ua,0.04411072482001421,5.119982180221106e-09,7.155405076039445e-05,0.043970292180578005,0.04425115745945042
reformulated,3,io,SSE,transformed,Cp,3.8260590703758934,9.36518553355274e-05,0.009677388869706921,3.8070661377972153,3.8450520029545716
reformulated,3,io,SSE,transformed,theta,1504.3548260732045,6541.158070651475,80.87742621183908,1345.6240440554502,1663.0856080909589
